                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1336,                 3.7056,                 1.2798,                0.21442,                0.25295,                0.17728,                0.10622,                0.67136,                 2.6697,                 1.1739,                  0.091,                  0.001,                  0.001
                      1,                0.91662,                 1.7523,                 1.1346,                 0.9467,                0.84615,                0.91712,                0.79518,                 0.5052,                0.91133,                0.95157,               0.081079,              0.0020792,              0.0020792
                      2,                0.74357,                0.81978,                0.98461,                0.99068,                0.84615,                0.95149,                  0.884,                0.46125,                0.56601,                0.91921,               0.071137,              0.0031366,              0.0031366
                      3,                0.68138,                0.65751,                0.96321,                0.99147,                0.84615,                0.91322,                0.86706,                0.40564,                0.51343,                0.90318,               0.061172,              0.0041723,              0.0041723
                      4,                0.61089,                0.63583,                0.91328,                  0.986,                0.84615,                 0.9448,                 0.8623,                0.44894,                 0.5452,                0.90876,               0.051186,              0.0051862,              0.0051862
                      5,                0.73516,                0.80177,                0.94966,                0.91627,                0.84615,                0.94937,                0.88297,                0.44186,                0.61041,                0.90834,               0.041178,              0.0061782,              0.0061782
                      6,                0.69169,                0.72717,                 0.9666,                0.98136,                0.84615,                0.91748,                0.81816,                0.55072,                0.79339,                 0.9462,               0.031149,              0.0071486,              0.0071486
                      7,                0.58694,                0.67914,                0.93308,                0.98679,                0.84615,                0.93028,                0.83116,                0.58861,                0.59046,                0.97867,               0.021097,              0.0080971,              0.0080971
                      8,                0.74835,                0.78502,                0.95386,                0.99313,                0.84615,                0.90627,                0.76436,                0.58214,                0.70407,                0.98392,               0.011024,              0.0090238,              0.0090238
                      9,                0.63959,                0.97667,                0.91161,                0.92231,                0.91385,                0.92402,                0.76666,                0.59644,                0.66959,                0.97635,               0.009109,               0.009109,               0.009109
                     10,                 0.6357,                0.75852,                0.91534,                0.83287,                0.84615,                0.84875,                0.71521,                0.58539,                0.99307,                0.93903,               0.009109,               0.009109,               0.009109
                     11,                0.68288,                0.61745,                0.92419,                0.92255,                0.91671,                0.93539,                0.80042,                0.76123,                0.77171,                0.97827,                0.00901,                0.00901,                0.00901
